run_id,section,campaign,source,geometry,M,theta,ca,n_frames,status,finish_type
drain_bent128_0003_128_M0.05_th140_b99,train,drainage,bentheimer,bent128_0003,0.05,140.0,1e-05,349,finished,dp_cap
drain_bent128_0005_128_M0.05_th150_b99,train,drainage,bentheimer,bent128_0005,0.05,150.0,1e-05,174,finished,dp_cap
drain_bent128_0007_128_M1_th130_b99,train,drainage,bentheimer,bent128_0007,1.0,130.0,1e-05,373,finished,dp_cap
drain_bent128_0010_128_M0.1_th140_b99,train,drainage,bentheimer,bent128_0010,0.1,140.0,1e-05,385,finished,dp_cap
drain_bent128_0014_128_M1_th140_b99,train,drainage,bentheimer,bent128_0014,1.0,140.0,1e-05,376,finished,dp_cap
drain_bent128_0016_128_M1_th130_b99,train,drainage,bentheimer,bent128_0016,1.0,130.0,1e-05,417,finished,pv_cap
drain_bent128_0018_128_M1_th130_b99,train,drainage,bentheimer,bent128_0018,1.0,130.0,1e-05,408,finished,pv_cap
drain_bent128_0020_128_M0.2_th130_b99,train,drainage,bentheimer,bent128_0020,0.2,130.0,1e-05,379,finished,dp_cap
drain_bent128_0022_128_M1_th150_b99,train,drainage,bentheimer,bent128_0022,1.0,150.0,1e-05,274,finished,dp_cap
drain_bent128_0024_128_M0.1_th120_b99,train,drainage,bentheimer,bent128_0024,0.1,120.0,1e-05,384,finished,pv_cap
drain_bent128_0028_128_M0.05_th130_b99,train,drainage,bentheimer,bent128_0028,0.05,130.0,1e-05,282,finished,dp_cap
drain_bent128_0032_128_M1_th140_b99,train,drainage,bentheimer,bent128_0032,1.0,140.0,1e-05,400,finished,dp_cap
drain_bent128_0035_128_M0.2_th130_b99,train,drainage,bentheimer,bent128_0035,0.2,130.0,1e-05,214,finished,dp_cap
drain_bent128_0036_128_M0.2_th150_b99,train,drainage,bentheimer,bent128_0036,0.2,150.0,1e-05,460,finished,pv_cap
drain_bent128_0040_128_M1_th150_b99,train,drainage,bentheimer,bent128_0040,1.0,150.0,1e-05,442,finished,dp_cap
