run_id,section,campaign,source,geometry,M,theta,ca,n_frames,status,finish_type
gdl_fiber_0000_128x128x64_M5_th130_b99,train,GDL,fiber,fiber_0000,5.0,130.0,1e-05,366,finished,pv_cap
gdl_fiber_0001_128x128x64_M20_th130_b99,train,GDL,fiber,fiber_0001,20.0,130.0,1e-05,334,finished,bt_cap
gdl_fiber_0003_128x128x64_M1_th120_b99,train,GDL,fiber,fiber_0003,1.0,120.0,1e-05,393,finished,pv_cap
gdl_fiber_0003_128x128x64_M20_th130_b99,train,GDL,fiber,fiber_0003,20.0,130.0,1e-05,393,finished,pv_cap
gdl_fiber_0004_128x128x64_M5_th120_b99,train,GDL,fiber,fiber_0004,5.0,120.0,1e-05,395,finished,pv_cap
gdl_fiber_0009_128x128x64_M10_th130_b99,train,GDL,fiber,fiber_0009,10.0,130.0,1e-05,355,finished,pv_cap
gdl_fiber_0010_128x128x64_M5_th150_b99,train,GDL,fiber,fiber_0010,5.0,150.0,1e-05,279,finished,pv_cap
gdl_fiber_0011_128x128x64_M1_th130_b99,train,GDL,fiber,fiber_0011,1.0,130.0,1e-05,268,finished,bt_cap
gdl_fiber_0011_128x128x64_M5_th150_b99,train,GDL,fiber,fiber_0011,5.0,150.0,1e-05,193,finished,bt_cap
gdl_fiber_0014_128x128x64_M5_th140_b99,train,GDL,fiber,fiber_0014,5.0,140.0,1e-05,326,finished,pv_cap
gdl_fiber_0015_128x128x64_M10_th120_b99,train,GDL,fiber,fiber_0015,10.0,120.0,1e-05,392,finished,pv_cap
gdl_fiber_0015_128x128x64_M1_th130_b99,train,GDL,fiber,fiber_0015,1.0,130.0,1e-05,392,finished,pv_cap
gdl_fiber_0016_128x128x64_M1_th150_b99,train,GDL,fiber,fiber_0016,1.0,150.0,1e-05,263,finished,bt_cap
gdl_fiber_0017_128x128x64_M10_th120_b99,train,GDL,fiber,fiber_0017,10.0,120.0,1e-05,285,finished,bt_cap
gdl_fiber_0017_128x128x64_M5_th140_b99,train,GDL,fiber,fiber_0017,5.0,140.0,1e-05,309,finished,bt_cap
gdl_fiber_0018_128x128x64_M10_th140_b99,train,GDL,fiber,fiber_0018,10.0,140.0,1e-05,318,finished,pv_cap
gdl_fiber_0018_128x128x64_M1_th140_b99,train,GDL,fiber,fiber_0018,1.0,140.0,1e-05,318,finished,pv_cap
gdl_fiber_0020_128x128x64_M20_th120_b99,train,GDL,fiber,fiber_0020,20.0,120.0,1e-05,309,finished,bt_cap
gdl_fiber_0020_128x128x64_M5_th120_b99,train,GDL,fiber,fiber_0020,5.0,120.0,1e-05,222,finished,bt_cap
gdl_fiber_0021_128x128x64_M10_th150_b99,train,GDL,fiber,fiber_0021,10.0,150.0,1e-05,306,finished,bt_cap
gdl_fiber_0021_128x128x64_M20_th150_b99,train,GDL,fiber,fiber_0021,20.0,150.0,1e-05,297,finished,bt_cap
gdl_fiber_0023_128x128x64_M5_th120_b99,train,GDL,fiber,fiber_0023,5.0,120.0,1e-05,390,finished,pv_cap
gdl_fiber_0024_128x128x64_M5_th150_b99,train,GDL,fiber,fiber_0024,5.0,150.0,1e-05,213,finished,bt_cap
gdl_fiber_0025_128x128x64_M20_th150_b99,train,GDL,fiber,fiber_0025,20.0,150.0,1e-05,306,finished,bt_cap
gdl_fiber_0026_128x128x64_M20_th120_b99,train,GDL,fiber,fiber_0026,20.0,120.0,1e-05,319,finished,pv_cap
gdl_fiber_0026_128x128x64_M5_th140_b99,train,GDL,fiber,fiber_0026,5.0,140.0,1e-05,319,finished,pv_cap
gdl_fiber_0027_128x128x64_M1_th140_b99,train,GDL,fiber,fiber_0027,1.0,140.0,1e-05,311,finished,pv_cap
gdl_fiber_0027_128x128x64_M5_th140_b99,train,GDL,fiber,fiber_0027,5.0,140.0,1e-05,311,finished,pv_cap
gdl_fiber_0029_128x128x64_M1_th120_b99,train,GDL,fiber,fiber_0029,1.0,120.0,1e-05,385,finished,pv_cap
gdl_fiber_0030_128x128x64_M10_th130_b99,train,GDL,fiber,fiber_0030,10.0,130.0,1e-05,380,finished,pv_cap
gdl_fiber_0031_128x128x64_M20_th150_b99,train,GDL,fiber,fiber_0031,20.0,150.0,1e-05,305,finished,pv_cap
gdl_fiber_0032_128x128x64_M10_th140_b99,train,GDL,fiber,fiber_0032,10.0,140.0,1e-05,356,finished,pv_cap
gdl_fiber_0032_128x128x64_M1_th150_b99,train,GDL,fiber,fiber_0032,1.0,150.0,1e-05,356,finished,pv_cap
gdl_fiber_0033_128x128x64_M1_th150_b99,train,GDL,fiber,fiber_0033,1.0,150.0,1e-05,309,finished,bt_cap
gdl_fiber_0036_128x128x64_M10_th120_b99,train,GDL,fiber,fiber_0036,10.0,120.0,1e-05,335,finished,pv_cap
gdl_fiber_0036_128x128x64_M10_th150_b99,train,GDL,fiber,fiber_0036,10.0,150.0,1e-05,335,finished,pv_cap
gdl_fiber_0037_128x128x64_M1_th130_b99,train,GDL,fiber,fiber_0037,1.0,130.0,1e-05,374,finished,pv_cap
gdl_fiber_0039_128x128x64_M5_th130_b99,train,GDL,fiber,fiber_0039,5.0,130.0,1e-05,385,finished,pv_cap
gdl_fiber_0040_128x128x64_M10_th140_b99,train,GDL,fiber,fiber_0040,10.0,140.0,1e-05,223,finished,bt_cap
gdl_fiber_0041_128x128x64_M10_th150_b99,train,GDL,fiber,fiber_0041,10.0,150.0,1e-05,297,finished,bt_cap
gdl_fiber_0043_128x128x64_M20_th140_b99,train,GDL,fiber,fiber_0043,20.0,140.0,1e-05,324,finished,pv_cap
gdl_fiber_0044_128x128x64_M1_th120_b99,train,GDL,fiber,fiber_0044,1.0,120.0,1e-05,245,finished,bt_cap
gdl_fiber_0044_128x128x64_M1_th140_b99,train,GDL,fiber,fiber_0044,1.0,140.0,1e-05,226,finished,bt_cap
gdl_fiber_0045_128x128x64_M20_th120_b99,train,GDL,fiber,fiber_0045,20.0,120.0,1e-05,364,finished,pv_cap
gdl_fiber_0046_128x128x64_M20_th150_b99,train,GDL,fiber,fiber_0046,20.0,150.0,1e-05,351,finished,pv_cap
gdl_fiber_0047_128x128x64_M20_th140_b99,train,GDL,fiber,fiber_0047,20.0,140.0,1e-05,377,finished,pv_cap
gdl_fiber_0047_128x128x64_M5_th130_b99,train,GDL,fiber,fiber_0047,5.0,130.0,1e-05,377,finished,pv_cap
