run_id,section,campaign,source,geometry,M,theta,ca,n_frames,status,finish_type
gdl_gdl_ct_0002_128x128x64_M20_th140_b99,train,GDL,gdl_ct,gdl_0002,20.0,140.0,1e-05,288,finished,pv_cap
gdl_gdl_ct_0003_128x128x64_M5_th150_b99,train,GDL,gdl_ct,gdl_0003,5.0,150.0,1e-05,263,finished,pv_cap
gdl_gdl_ct_0004_128x128x64_M10_th150_b99,train,GDL,gdl_ct,gdl_0004,10.0,150.0,1e-05,283,finished,pv_cap
gdl_gdl_ct_0014_128x128x64_M10_th130_b99,train,GDL,gdl_ct,gdl_0014,10.0,130.0,1e-05,257,finished,bt_cap
gdl_gdl_ct_0015_128x128x64_M10_th120_b99,train,GDL,gdl_ct,gdl_0015,10.0,120.0,1e-05,314,finished,pv_cap
gdl_gdl_ct_0017_128x128x64_M10_th150_b99,train,GDL,gdl_ct,gdl_0017,10.0,150.0,1e-05,246,finished,pv_cap
gdl_gdl_ct_0019_128x128x64_M20_th150_b99,train,GDL,gdl_ct,gdl_0019,20.0,150.0,1e-05,309,finished,pv_cap
gdl_gdl_ct_0020_128x128x64_M10_th150_b99,train,GDL,gdl_ct,gdl_0020,10.0,150.0,1e-05,286,finished,pv_cap
gdl_gdl_ct_0025_128x128x64_M5_th120_b99,train,GDL,gdl_ct,gdl_0025,5.0,120.0,1e-05,215,finished,bt_cap
gdl_gdl_ct_0026_128x128x64_M1_th130_b99,train,GDL,gdl_ct,gdl_0026,1.0,130.0,1e-05,321,finished,pv_cap
gdl_gdl_ct_0029_128x128x64_M5_th120_b99,train,GDL,gdl_ct,gdl_0029,5.0,120.0,1e-05,264,finished,bt_cap
gdl_gdl_ct_0034_128x128x64_M5_th140_b99,train,GDL,gdl_ct,gdl_0034,5.0,140.0,1e-05,178,finished,bt_cap
gdl_gdl_ct_0035_128x128x64_M10_th130_b99,train,GDL,gdl_ct,gdl_0035,10.0,130.0,1e-05,197,finished,bt_cap
gdl_gdl_ct_0036_128x128x64_M20_th150_b99,train,GDL,gdl_ct,gdl_0036,20.0,150.0,1e-05,282,finished,pv_cap
gdl_gdl_ct_0040_128x128x64_M5_th130_b99,train,GDL,gdl_ct,gdl_0040,5.0,130.0,1e-05,258,finished,bt_cap
gdl_gdl_ct_0043_128x128x64_M1_th130_b99,train,GDL,gdl_ct,gdl_0043,1.0,130.0,1e-05,252,finished,bt_cap
gdl_gdl_ct_0047_128x128x64_M20_th140_b99,train,GDL,gdl_ct,gdl_0047,20.0,140.0,1e-05,238,finished,bt_cap
gdl_gdl_ct_0051_128x128x64_M10_th150_b99,train,GDL,gdl_ct,gdl_0051,10.0,150.0,1e-05,290,finished,pv_cap
