run_id,section,campaign,source,geometry,M,theta,ca,n_frames,status,finish_type
trap_blob128_0002_128_M0.1_th120_b99,train,trapping,blob,blob128_0002,0.1,120.0,,133,finished,red_immobile
trap_blob128_0006_128_M0.1_th150_b99,train,trapping,blob,blob128_0006,0.1,150.0,,25,finished,red_immobile
trap_blob128_0007_128_M1_th120_b99,train,trapping,blob,blob128_0007,1.0,120.0,,109,finished,red_immobile
trap_blob128_0009_128_M0.2_th120_b99,train,trapping,blob,blob128_0009,0.2,120.0,,165,finished,red_immobile
trap_blob128_0010_128_M0.2_th120_b99,train,trapping,blob,blob128_0010,0.2,120.0,,145,finished,red_immobile
trap_blob128_0012_128_M0.05_th150_b99,train,trapping,blob,blob128_0012,0.05,150.0,,53,finished,red_immobile
trap_blob128_0018_128_M1_th120_b99,train,trapping,blob,blob128_0018,1.0,120.0,,213,finished,red_immobile
trap_blob128_0023_128_M0.05_th150_b99,train,trapping,blob,blob128_0023,0.05,150.0,,229,finished,red_immobile
trap_blob128_0026_128_M0.05_th130_b99,train,trapping,blob,blob128_0026,0.05,130.0,,189,finished,red_immobile
trap_blob128_0027_128_M0.1_th130_b99,train,trapping,blob,blob128_0027,0.1,130.0,,153,finished,red_immobile
trap_blob128_0029_128_M0.1_th140_b99,train,trapping,blob,blob128_0029,0.1,140.0,,173,finished,red_immobile
trap_blob128_0031_128_M0.1_th130_b99,train,trapping,blob,blob128_0031,0.1,130.0,,189,finished,red_immobile
trap_blob128_0032_128_M0.2_th140_b99,train,trapping,blob,blob128_0032,0.2,140.0,,129,finished,red_immobile
trap_blob128_0038_128_M1_th150_b99,train,trapping,blob,blob128_0038,1.0,150.0,,321,finished,red_immobile
trap_blob128_0041_128_M0.1_th130_b99,train,trapping,blob,blob128_0041,0.1,130.0,,105,finished,red_immobile
trap_blob128_0044_128_M0.1_th140_b99,train,trapping,blob,blob128_0044,0.1,140.0,,229,finished,red_immobile
trap_blob128_0046_128_M1_th120_b99,train,trapping,blob,blob128_0046,1.0,120.0,,113,finished,red_immobile
trap_blob128_0049_128_M0.1_th150_b99,train,trapping,blob,blob128_0049,0.1,150.0,,185,finished,red_immobile
trap_blob128_0057_128_M0.1_th150_b99,train,trapping,blob,blob128_0057,0.1,150.0,,93,finished,red_immobile
trap_blob128_0058_128_M1_th150_b99,train,trapping,blob,blob128_0058,1.0,150.0,,37,finished,red_immobile
trap_blob128_0060_128_M0.2_th150_b99,train,trapping,blob,blob128_0060,0.2,150.0,,137,finished,red_immobile
trap_blob128_0062_128_M0.2_th140_b99,train,trapping,blob,blob128_0062,0.2,140.0,,121,finished,red_immobile
trap_poly128_0000_128_M1_th130_b99,train,trapping,poly,poly128_0000,1.0,130.0,,17,finished,red_immobile
trap_poly128_0002_128_M1_th130_b99,train,trapping,poly,poly128_0002,1.0,130.0,,21,finished,red_immobile
trap_poly128_0005_128_M1_th140_b99,train,trapping,poly,poly128_0005,1.0,140.0,,77,finished,red_immobile
trap_poly128_0007_128_M1_th130_b99,train,trapping,poly,poly128_0007,1.0,130.0,,225,finished,red_immobile
trap_poly128_0012_128_M0.05_th140_b99,train,trapping,poly,poly128_0012,0.05,140.0,,93,finished,red_immobile
trap_poly128_0015_128_M0.05_th140_b99,train,trapping,poly,poly128_0015,0.05,140.0,,101,finished,red_immobile
trap_poly128_0022_128_M0.05_th150_b99,train,trapping,poly,poly128_0022,0.05,150.0,,209,finished,red_immobile
trap_poly128_0023_128_M0.05_th120_b99,train,trapping,poly,poly128_0023,0.05,120.0,,217,finished,red_immobile
trap_poly128_0026_128_M0.2_th140_b99,train,trapping,poly,poly128_0026,0.2,140.0,,21,finished,red_immobile
trap_poly128_0028_128_M0.2_th130_b99,train,trapping,poly,poly128_0028,0.2,130.0,,89,finished,red_immobile
trap_poly128_0031_128_M0.2_th150_b99,train,trapping,poly,poly128_0031,0.2,150.0,,53,finished,red_immobile
trap_poly128_0033_128_M0.2_th140_b99,train,trapping,poly,poly128_0033,0.2,140.0,,129,finished,red_immobile
trap_poly128_0046_128_M1_th140_b99,train,trapping,poly,poly128_0046,1.0,140.0,,105,finished,red_immobile
