run_id,section,campaign,source,geometry,M,theta,ca,n_frames,status,finish_type
trap_bent128_0008_128_M0.1_th120_b99,train,trapping,bentheimer,bent128_0008,0.1,120.0,,25,finished,red_immobile
trap_bent128_0009_128_M0.05_th130_b99,train,trapping,bentheimer,bent128_0009,0.05,130.0,,177,finished,red_immobile
trap_bent128_0016_128_M1_th150_b99,train,trapping,bentheimer,bent128_0016,1.0,150.0,,45,finished,red_immobile
trap_bent128_0018_128_M1_th130_b99,train,trapping,bentheimer,bent128_0018,1.0,130.0,,37,finished,red_immobile
trap_bent128_0024_128_M1_th140_b99,train,trapping,bentheimer,bent128_0024,1.0,140.0,,49,finished,red_immobile
trap_bent128_0025_128_M1_th150_b99,train,trapping,bentheimer,bent128_0025,1.0,150.0,,17,finished,red_immobile
trap_bent128_0028_128_M0.2_th120_b99,train,trapping,bentheimer,bent128_0028,0.2,120.0,,85,finished,red_immobile
trap_bent128_0030_128_M0.05_th140_b99,train,trapping,bentheimer,bent128_0030,0.05,140.0,,105,finished,red_immobile
trap_bent128_0033_128_M1_th130_b99,train,trapping,bentheimer,bent128_0033,1.0,130.0,,89,finished,red_immobile
trap_bent128_0035_128_M0.2_th130_b99,train,trapping,bentheimer,bent128_0035,0.2,130.0,,85,finished,red_immobile
trap_bent128_0036_128_M0.2_th150_b99,train,trapping,bentheimer,bent128_0036,0.2,150.0,,25,finished,red_immobile
trap_bent128_0038_128_M1_th130_b99,train,trapping,bentheimer,bent128_0038,1.0,130.0,,29,finished,red_immobile
trap_bent128_0040_128_M0.1_th140_b99,train,trapping,bentheimer,bent128_0040,0.1,140.0,,133,finished,red_immobile
trap_bent128_0041_128_M1_th120_b99,train,trapping,bentheimer,bent128_0041,1.0,120.0,,117,finished,red_immobile
trap_bent128_0043_128_M0.1_th140_b99,train,trapping,bentheimer,bent128_0043,0.1,140.0,,209,finished,red_immobile
trap_bent128_0045_128_M0.1_th130_b99,train,trapping,bentheimer,bent128_0045,0.1,130.0,,161,finished,red_immobile
trap_bent128_0046_128_M0.05_th150_b99,train,trapping,bentheimer,bent128_0046,0.05,150.0,,53,finished,red_immobile
trap_bent128_0049_128_M1_th120_b99,train,trapping,bentheimer,bent128_0049,1.0,120.0,,25,finished,red_immobile
trap_bent128_0050_128_M0.05_th150_b99,train,trapping,bentheimer,bent128_0050,0.05,150.0,,129,finished,red_immobile
trap_bent128_0055_128_M1_th120_b99,train,trapping,bentheimer,bent128_0055,1.0,120.0,,105,finished,red_immobile
trap_bent128_0057_128_M0.05_th120_b99,train,trapping,bentheimer,bent128_0057,0.05,120.0,,181,finished,red_immobile
trap_bent128_0063_128_M1_th150_b99,train,trapping,bentheimer,bent128_0063,1.0,150.0,,57,finished,red_immobile
trap_buff128_0004_128_M0.1_th120_b99,train,trapping,buffberea,buff128_0004,0.1,120.0,,181,finished,red_immobile
trap_buff128_0007_128_M0.2_th130_b99,train,trapping,buffberea,buff128_0007,0.2,130.0,,53,finished,red_immobile
trap_buff128_0011_128_M0.1_th150_b99,train,trapping,buffberea,buff128_0011,0.1,150.0,,37,finished,red_immobile
trap_buff128_0011_128_M1_th150_b99,train,trapping,buffberea,buff128_0011,1.0,150.0,,29,finished,red_immobile
trap_buff128_0021_128_M0.05_th130_b99,train,trapping,buffberea,buff128_0021,0.05,130.0,,37,finished,red_immobile
trap_buff128_0022_128_M1_th130_b99,train,trapping,buffberea,buff128_0022,1.0,130.0,,17,finished,red_immobile
trap_buff128_0024_128_M1_th140_b99,train,trapping,buffberea,buff128_0024,1.0,140.0,,185,finished,red_immobile
trap_buff128_0026_128_M0.1_th140_b99,train,trapping,buffberea,buff128_0026,0.1,140.0,,177,finished,red_immobile
trap_buff128_0028_128_M0.1_th130_b99,train,trapping,buffberea,buff128_0028,0.1,130.0,,237,finished,red_immobile
trap_buff128_0028_128_M0.2_th140_b99,train,trapping,buffberea,buff128_0028,0.2,140.0,,189,finished,red_immobile
trap_buff128_0029_128_M0.2_th140_b99,train,trapping,buffberea,buff128_0029,0.2,140.0,,57,finished,red_immobile
trap_buff128_0031_128_M0.1_th130_b99,train,trapping,buffberea,buff128_0031,0.1,130.0,,105,finished,red_immobile
trap_buff128_0032_128_M0.2_th120_b99,train,trapping,buffberea,buff128_0032,0.2,120.0,,133,finished,red_immobile
trap_buff128_0032_128_M1_th140_b99,train,trapping,buffberea,buff128_0032,1.0,140.0,,89,finished,red_immobile
trap_buff128_0033_128_M0.05_th140_b99,train,trapping,buffberea,buff128_0033,0.05,140.0,,137,finished,red_immobile
trap_buff128_0038_128_M0.05_th140_b99,train,trapping,buffberea,buff128_0038,0.05,140.0,,65,finished,red_immobile
