run_id,section,campaign,source,geometry,M,theta,ca,n_frames,status,finish_type
fill_flipchip_0000_26x482x476_M5_th30,train,underfill,flipchip,flipchip_0000,5.0,30.0,,171,finished,filled
fill_flipchip_0002_26x482x476_M20_th40,train,underfill,flipchip,flipchip_0002,20.0,40.0,,384,finished,filled
fill_flipchip_0004_26x482x476_M30_th40,train,underfill,flipchip,flipchip_0004,30.0,40.0,,482,finished,filled
fill_flipchip_0006_26x482x476_M30_th50,train,underfill,flipchip,flipchip_0006,30.0,50.0,,519,finished,filled
fill_flipchip_0007_26x482x476_M20_th30,train,underfill,flipchip,flipchip_0007,20.0,30.0,,313,finished,filled
fill_flipchip_0011_26x482x476_M5_th40,train,underfill,flipchip,flipchip_0011,5.0,40.0,,118,finished,filled
fill_flipchip_0013_26x482x476_M10_th30,train,underfill,flipchip,flipchip_0013,10.0,30.0,,198,finished,filled
fill_flipchip_0018_26x482x476_M5_th50,train,underfill,flipchip,flipchip_0018,5.0,50.0,,163,finished,filled
fill_flipchip_0020_26x482x476_M20_th40,train,underfill,flipchip,flipchip_0020,20.0,40.0,,458,finished,filled
fill_flipchip_0023_26x482x476_M10_th40,train,underfill,flipchip,flipchip_0023,10.0,40.0,,300,finished,filled
fill_flipchip_0029_26x482x476_M5_th50,train,underfill,flipchip,flipchip_0029,5.0,50.0,,157,finished,filled
fill_flipchip_0030_26x482x476_M30_th30,train,underfill,flipchip,flipchip_0030,30.0,30.0,,417,finished,filled
fill_flipchip_0033_26x482x476_M10_th30,train,underfill,flipchip,flipchip_0033,10.0,30.0,,230,finished,filled
fill_flipchip_0034_26x482x476_M20_th50,train,underfill,flipchip,flipchip_0034,20.0,50.0,,488,finished,filled
fill_flipchip_0036_26x482x476_M5_th30,train,underfill,flipchip,flipchip_0036,5.0,30.0,,173,finished,filled
fill_flipchip_0038_26x482x476_M30_th40,train,underfill,flipchip,flipchip_0038,30.0,40.0,,559,finished,filled
fill_flipchip_0039_26x482x476_M30_th40,train,underfill,flipchip,flipchip_0039,30.0,40.0,,642,finished,filled
fill_flipchip_0040_26x482x476_M10_th50,train,underfill,flipchip,flipchip_0040,10.0,50.0,,458,finished,filled
fill_flipchip_0041_26x482x476_M20_th30,train,underfill,flipchip,flipchip_0041,20.0,30.0,,346,finished,filled
fill_flipchip_0043_26x482x476_M20_th30,train,underfill,flipchip,flipchip_0043,20.0,30.0,,518,finished,filled
fill_flipchip_0044_26x482x476_M20_th50,train,underfill,flipchip,flipchip_0044,20.0,50.0,,351,finished,filled
fill_flipchip_0052_26x482x476_M10_th40,train,underfill,flipchip,flipchip_0052,10.0,40.0,,315,finished,filled
fill_flipchip_0055_26x482x476_M5_th40,train,underfill,flipchip,flipchip_0055,5.0,40.0,,126,finished,filled
fill_flipchip_0058_26x482x476_M30_th50,train,underfill,flipchip,flipchip_0058,30.0,50.0,,1266,finished,filled
fill_flipchip_0060_26x482x476_M10_th50,train,underfill,flipchip,flipchip_0060,10.0,50.0,,206,finished,filled
fill_flipchip_0001_26x482x476_M30_th30,val,underfill,flipchip,flipchip_0001,30.0,30.0,,796,finished,filled
fill_flipchip_0012_26x482x476_M5_th50,val,underfill,flipchip,flipchip_0012,5.0,50.0,,195,finished,filled
fill_flipchip_0019_26x482x476_M10_th30,val,underfill,flipchip,flipchip_0019,10.0,30.0,,252,finished,filled
fill_flipchip_0032_26x482x476_M20_th40,val,underfill,flipchip,flipchip_0032,20.0,40.0,,477,finished,filled
fill_flipchip_0048_26x482x476_M30_th50,val,underfill,flipchip,flipchip_0048,30.0,50.0,,796,finished,filled
fill_flipchip_0050_26x482x476_M5_th40,val,underfill,flipchip,flipchip_0050,5.0,40.0,,168,finished,filled
fill_flipchip_0062_26x482x476_M10_th50,val,underfill,flipchip,flipchip_0062,10.0,50.0,,337,finished,filled
